id,name,college_id
536,"Management Information Systems",2
537,Marketing,2
538,"Materials Engineering",4
539,Mathematics,7
540,"Mechanical Engineering",4
541,Meteorology,7
542,Microbiology,1
543,Music,7
544,"Nutritional Science - AGLS",1
545,"Nutritional Science - H SCI",6
546,"Open Option - Undecided",7
547,"Performing Arts",7
548,Philosophy,7
549,"Physical Education (Kinesiology and Health)",7
550,Physics,7
551,"Political Science",7
552,"Pre-Human Medicine",6
553,Pre-Law,6
554,"Preprofessional Health Programs",6
555,Psychology,7
556,"Public Relations",7
557,"Religious Studies",7
558,Sociology,7
559,"Software Engineering",4
560,"Speech Communication",7
561,Statistics,7
562,"Supply Chain Management",2
563,"Technical Communication",7
564,"Theatre (Performing Arts)",7
565,"Veterinary Medicine",8
566,"Women's Studies",7
567,"World Languages and Cultures: French",7
568,"World Languages and Cultures: German",7
569,"World Languages and Cultures: Spanish",7
570,"Zoology (Biology)",7
571,"Undecided - Agricultural and Life Sciences",1
572,"Undecided - Business",2
573,"Undecided - Design",3
574,"Undecided - Engineering",4
575,"Undecided - Human Sciences",6
576,"Undecided - Liberal Arts and Sciences",7
577,"Undecided - Open Option",7
578,Accounting,2
579,Advertising,7
580,"Aerospace Engineering",4
581,"Agricultural Biochemistry",1
582,"Agricultural Business",1
583,"Agricultural Engineering",4
584,"Agricultural Studies",1
585,"Agricultural Systems Technology",1
586,"Agriculture and Life Sciences Education",1
587,"Agriculture and Life Sciences Exploration",1
588,"Agriculture and Society",1
589,Agronomy,1
590,"Animal Ecology",1
591,"Animal Science",1
592,Anthropology,7
593,"Apparel, Merchandising, and Design",6
594,Architecture,3
595,"Art and Design",3
596,"Athletic Training",6
597,Biochemistry,7
598,"Bioinformatics and Computational Biology",7
599,"Biological Pre-Medical Illustration",7
600,"Biological Systems Engineering",4
601,"Biology - AGLS",1
602,"Biology - LAS",7
603,Biophysics,7
604,"Botany (Biology)",7
605,"Business Economics",2
606,"Chemical Engineering",4
607,Chemistry,7
608,"Child, Adult and Family Services",6
609,"Civil Engineering",4
610,"Classical Studies (Interdisciplinary Studies)",7
611,"Communication Studies",7
612,"Community and Regional Planning",3
613,"Computer Engineering",4
614,"Computer Science",7
615,"Construction Engineering",4
616,"Criminology and Criminal Justice (Interdisciplinary Studies)",7
617,"Culinary Science - AGLS",1
618,"Culinary Science - H SCI",6
619,"Dairy Science",7
620,"Dance (Performing Arts)",7
621,Design,3
622,"Design - Fashion (Apparel, Merchandising, and Design)",3
623,"Diet and Exercise - AGLS",1
624,"Diet and Exercise - H SCI",6
625,"Dietetics - AGLS",1
626,"Dietetics - H SCI",6
627,"Early Childcare Education and Programming (non-licensure)",6
628,"Early Childhood Education (teacher licensure)",6
629,"Earth Science",7
630,Economics,7
631,"Education: Agriculture and Life Sciences Education",6
632,"Education: Biology - AGLS",6
633,"Education: Biology - LAS",7
634,"Education: Chemistry",7
635,"Education: Early Childhood Education",6
636,"Education: Earth Science",7
637,"Education: Elementary Education",6
638,"Education: English",7
639,"Education: Family and Consumer Sciences Education and Studies",6
640,"Education: History",7
641,"Education: Kinesiology and Health",6
642,"Education: Mathematics",7
643,"Education: Music",7
644,"Education: Physics",7
645,"Education: Political Science",6
646,"Education: Speech Communication",6
647,"Electrical Engineering",4
648,"Elementary Education",6
649,English,7
650,"Environmental Science - AGLS",1
651,"Environmental Science - LAS",7
652,"Event Management",6
653,"Family & Consumer Sciences Education and Studies",6
654,"Fashion Merchandising (Apparel Merchandising, Design, and Production)",6
655,Finance,2
656,"Financial Counseling and Planning",6
657,"Fine Arts (Integrated Studio Arts)",3
658,"Food Science - AGLS",1
659,"Food Science - H SCI",6
660,Forestry,1
661,"Genetics - AGLS",1
662,"Genetics - LAS",7
663,Geology,7
664,"Global Resource Systems",1
665,"Graphic Design",3
666,History,7
667,Horticulture,1
668,"Hospitality Management",6
669,"Industrial Design",3
670,"Industrial Engineering",4
671,"Industrial Technology",1
672,"Integrated Studio Arts",3
673,"Interior Design",3
674,"Journalism and Mass Communication",7
675,"Kinesiology and Health",6
676,"Kinesiology and Health major (Community and Public Health)",6
677,"Kinesiology and Health major (Exercise Science)",6
678,"Kinesiology and Health major (Physical Education Licensure)",6
679,"Kinesiology and Health major (Pre-Health Professions)",6
680,"Landscape Architecture",3
681,"Latino/a Studies, U.S. Program (Interdisciplinary Studies)",7
682,"Liberal Studies",7
683,Linguistics,7
684,Management,2
685,"Management Information Systems",2
686,Marketing,2
687,"Materials Engineering",4
688,Mathematics,7
689,"Mechanical Engineering",4
690,Meteorology,7
691,Microbiology,1
692,Music,7
693,"Nutritional Science - AGLS",1
694,"Nutritional Science - H SCI",6
695,"Open Option - Undecided",7
696,"Performing Arts",7
697,Philosophy,7
698,"Physical Education (Kinesiology and Health)",7
699,Physics,7
700,"Political Science",7
701,"Pre-Human Medicine",6
702,Pre-Law,6
703,"Preprofessional Health Programs",6
704,Psychology,7
705,"Public Relations",7
706,"Religious Studies",7
707,Sociology,7
708,"Software Engineering",4
709,"Speech Communication",7
710,Statistics,7
711,"Supply Chain Management",2
712,"Technical Communication",7
713,"Theatre (Performing Arts)",7
714,"Veterinary Medicine",8
715,"Women's Studies",7
716,"World Languages and Cultures: French",7
717,"World Languages and Cultures: German",7
718,"World Languages and Cultures: Spanish",7
719,"Zoology (Biology)",7
720,"Undecided - Agricultural and Life Sciences",1
721,"Undecided - Business",2
722,"Undecided - Design",3
723,"Undecided - Engineering",4
724,"Undecided - Human Sciences",6
