id,course_id,courseFor_id,courseSubOf_id
611,2123,4960,NULL
612,4958,4961,NULL
613,5915,4962,NULL
614,2171,4963,NULL
615,2130,4964,NULL
616,4980,5003,NULL
617,4980,5004,NULL
618,4976,5010,NULL
619,4976,5011,NULL
620,405,5237,NULL
621,405,5269,NULL
622,5299,5301,NULL
623,5294,5305,NULL
624,5294,5306,NULL
625,5294,5308,NULL
626,5294,5325,NULL
627,5294,5326,NULL
628,5294,5327,NULL
629,6685,5408,NULL
630,7426,5410,NULL
631,6948,5412,NULL
632,6948,5413,NULL
633,6948,5414,NULL
634,6954,5428,NULL
635,5409,5429,NULL
636,1418,5431,NULL
637,5413,5453,NULL
638,1324,5454,NULL
639,1324,5457,NULL
640,6954,5464,NULL
641,5889,5503,NULL
642,2034,5558,NULL
643,2123,5649,NULL
644,7312,5650,NULL
645,7312,5651,NULL
646,5643,5655,NULL
647,5643,5656,NULL
648,5643,5657,NULL
649,5644,5658,NULL
650,6948,5661,NULL
651,5669,5670,NULL
652,5675,5671,NULL
653,5669,5672,NULL
654,5643,5673,NULL
655,5669,5674,NULL
656,5669,5675,NULL
657,5668,5676,NULL
658,5669,5677,NULL
659,5669,5678,NULL
660,5669,5679,NULL
661,5669,5680,NULL
662,5669,5681,NULL
663,5644,5682,NULL
664,5669,5691,NULL
665,5668,5692,NULL
666,5668,5693,NULL
667,5668,5694,NULL
668,2229,5697,NULL
669,4876,5710,NULL
670,2833,5735,NULL
671,5746,5753,NULL
672,5746,5754,NULL
673,7438,5788,NULL
674,1712,5804,NULL
675,5809,5805,NULL
676,1714,5809,NULL
677,6691,5823,NULL
678,2388,5825,NULL
679,1714,5827,NULL
680,1714,5828,NULL
681,5809,5844,NULL
682,1733,5845,NULL
683,5809,5849,NULL
684,5814,5853,NULL
685,3000,5856,NULL
686,5818,5857,NULL
687,5905,5858,NULL
688,5809,5864,NULL
689,1733,5865,NULL
690,5809,5866,NULL
691,5809,5870,NULL
692,5894,5900,NULL
693,5894,5902,NULL
694,5894,5903,NULL
695,5894,5904,NULL
696,5894,5905,NULL
697,5894,5911,NULL
698,5894,5913,NULL
699,5894,5914,NULL
700,5915,5918,NULL
701,2231,5919,NULL
702,5915,5925,NULL
703,5925,5927,NULL
704,5901,5928,NULL
705,5915,5929,NULL
706,5915,5930,NULL
707,5905,5932,NULL
708,5905,5934,NULL
709,5925,5938,NULL
710,2530,5939,NULL
711,5915,5941,NULL
712,5941,5942,NULL
713,5915,5945,NULL
714,5925,5946,NULL
715,5941,5948,NULL
716,5966,5950,NULL
717,5941,5951,NULL
718,5934,5953,NULL
719,2123,5954,NULL
720,5915,5955,NULL
721,5941,5965,NULL
722,5941,5966,NULL
723,5945,5969,NULL
724,73,5970,NULL
725,5943,5980,NULL
726,5948,5987,NULL
727,5941,5989,NULL
728,5951,5993,NULL
729,5952,5995,NULL
730,5905,6022,NULL
731,6022,6030,NULL
732,6022,6044,NULL
733,5905,6046,NULL
734,1636,6081,NULL
735,6022,6084,NULL
736,5809,6091,NULL
737,73,6093,NULL
738,92,6096,NULL
739,73,6097,NULL
740,5897,6145,NULL
741,5897,6169,NULL
742,6206,6205,NULL
743,6206,6209,NULL
744,3954,6211,NULL
745,1319,6218,NULL
746,6206,6220,NULL
747,6206,6221,NULL
748,6206,6222,NULL
749,6228,6229,NULL
750,6248,6241,NULL
751,3923,6255,NULL
752,1333,6256,NULL
753,3767,6258,NULL
754,3767,6259,NULL
755,1322,6265,NULL
756,1458,6293,NULL
757,1332,6296,NULL
758,6948,6359,NULL
759,6494,6495,NULL
760,6502,6518,NULL
761,1481,6540,NULL
762,612,6550,NULL
763,4406,6579,NULL
764,1463,6583,NULL
765,5905,6589,NULL
766,1324,6598,NULL
767,1324,6602,NULL
768,6598,6603,NULL
769,6598,6605,NULL
770,1324,6614,NULL
771,1324,6615,NULL
772,6598,6617,NULL
773,3750,6618,NULL
774,6639,6648,NULL
775,6639,6650,NULL
776,6639,6652,NULL
777,6639,6653,NULL
778,6639,6656,NULL
779,5887,6682,NULL
780,6693,6695,NULL
781,6693,6696,NULL
782,6691,6704,NULL
783,1733,6717,NULL
784,1733,6720,NULL
785,5905,6734,NULL
786,1733,6736,NULL
787,1733,6742,NULL
788,6784,6794,NULL
789,6784,6796,NULL
790,6784,6798,NULL
791,3923,6807,NULL
792,6784,6809,NULL
793,1322,6810,NULL
794,6784,6811,NULL
795,6818,6845,NULL
796,6862,6863,NULL
797,6818,6864,NULL
798,4958,6902,NULL
799,5885,6960,NULL
800,4706,6961,NULL
